ITEM ID  DE  LA MATRIZ ;Código ADN Clínico-Funcional ;MODELO;CLASIFICACIÓN GENERAL;AGRUPADOR;DISPARADOR (Actividad, Función, Cargo, Examen Médico, Sistema, Hallazgo Clínico, Laboratorio Clínico);SISTEMA;COMPONENTE;SUBCOMPONENTE O CARACTERÍSTICA ANATÓMICA/FISIOLÓGICA (CON LATERALIDAD);VALORACIÓN ESPECÍFICA;CONDICIÓN CLÍNICA MÉDICA;HALLAZGO ESPERADO;ACCIÓN RECOMENDADA;INTERPRETACIÓN CLÍNICA;SEGUIMIENTO POR ESPECIALISTA;ESTADO DE APTITUD LABORAL;ACCIÓN RECOMENDADA IA (PLN/NLP)
3095;MUSCANT-03-002;3;Factores de Riesgo Físico y Sensorial;Esfuerzo Físico / Levantamiento de Cargas;antecedentes_quirurgicos (2);sistema_musculo_esqueletico;antecedentes_quirurgicos;postoperatorio_hernioplastia/recuperacion_tejidos/no_aplica_lateralidad;Anamnesis de cirugía de hernioplastia. Evaluar el tiempo de recuperación. Inspección de la cicatriz quirúrgica.;Diagnostico/Postoperatorio de hernioplastia/Pared Abdominal/No Aplica Lateralidad;Cicatriz reciente en zona inguinal o abdominal. Debilidad de la pared abdominal.;Restricción estricta de levantamiento de cargas. Generalmente por 3-6 meses. Depende de las indicaciones del cirujano.;El esfuerzo antes de la cicatrización completa puede causar una recurrencia de la hernia. El tejido aún es débil.;Cirugía General;No, hasta alta por cirugía;Si te operaron de una hernia, no debes levantar peso por unos meses. Forzarte antes de tiempo puede hacer que la hernia vuelva a aparecer. Debes esperar a que tu médico te dé el alta.
3096;MUSCART-03-003;3;Factores de Riesgo Físico y Sensorial;Esfuerzo Físico / Levantamiento de Cargas;articulacion_cadera (1);sistema_musculo_esqueletico;articulacion_cadera;artrosis_cadera_severa/limitacion_funcional/no_aplica_lateralidad;Evaluación de rangos de movilidad (flexión, rotaciones). Anamnesis de dolor. Inspección de la marcha.;Diagnostico/Artrosis de cadera severa/Cadera/No Aplica Lateralidad;Dolor inguinal. Limitación marcada de la flexión de cadera. Marcha antálgica (cojera) evidente.;Restringir levantamiento de cargas desde el suelo. Recomendar el uso de ayudas mecánicas. Remitir a fisioterapia.;La limitación de la cadera obliga al trabajador a compensar con la columna. Es una técnica de alto riesgo que sobrecarga los discos intervertebrales.;Ortopedia, Fisiatría;Sí, con restricciones;Si tienes artrosis severa en la cadera, levantar peso desde el suelo es peligroso. Esto puede dañar tu espalda. Usa ayudas para mover objetos pesados.
3097;MUSCART-03-004;3;Factores de Riesgo Físico y Sensorial;Esfuerzo Físico / Levantamiento de Cargas;articulacion_muñeca (1);sistema_musculo_esqueletico;articulacion_muñeca;inestabilidad_artrosis/dolor_chasquido_fallo/no_aplica_lateralidad;Evaluación del rango de movimiento y estabilidad. Palpación de la zona radiocarpiana.;Diagnostico/Inestabilidad o artrosis radiocarpiana/Articulacion Muñeca/No Aplica Lateralidad;"Dolor, chasquido y sensación de ""fallo"". Ocurre en la muñeca al soportar peso. El movimiento puede estar limitado.";Uso de muñequeras de soporte. Evitar cargas que generen impacto. Evitar desviación forzada de la muñeca.;Una muñeca inestable no transfiere la fuerza eficazmente. Hay un riesgo de lesión aguda. Cargar peso puede ser peligroso.;Ortopedia;Sí, con adaptaciones;Si tu muñeca se siente inestable o te duele al cargar peso, debes usar una muñequera. Evita los movimientos bruscos para prevenir una lesión.
3098;MUSCART-03-005;3;Factores de Riesgo Físico y Sensorial;Esfuerzo Físico / Levantamiento de Cargas;articulacion_sacroiliaca (2);sistema_musculo_esqueletico;articulacion_sacroiliaca;disfuncion_sacroileitis/dolor_lumbopelvico/no_aplica_lateralidad;Pruebas de provocación sacroilíaca (Patrick-FABER, Gaenslen). Valoración de la movilidad pélvica.;Diagnostico/Disfuncion o sacroileitis/Articulacion Sacroiliaca/No Aplica Lateralidad;Dolor en la región glútea baja. Aumenta con la torsión del tronco o la carga monopodal. Inestabilidad al caminar.;Remitir a fisioterapia para terapia manual y estabilización pélvica. Evitar cargas asimétricas.;La disfunción de la articulación sacroilíaca compromete la transferencia de fuerza entre el tronco y las piernas. Esto es clave en el levantamiento seguro.;Fisioterapia, Ortopedia;Sí, con restricciones;Si tienes dolor en la zona baja de la espalda, es importante que evites levantar cargas de forma asimétrica. Un fisioterapeuta te puede ayudar a estabilizar la pelvis.
3099;MUSCART-03-006;3;Factores de Riesgo Físico y Sensorial;Esfuerzo Físico / Levantamiento de Cargas;articulacion_sacroiliaca (2);sistema_musculo_esqueletico;articulacion_sacroiliaca;disfuncion_sacroileitis/dolor_lumbopelvico/no_aplica_lateralidad;Pruebas de provocación sacroilíaca (Patrick-FABER, Gaenslen). Valoración de la movilidad pélvica.;Diagnostico/Disfuncion o sacroileitis/Articulacion Sacroiliaca/No Aplica Lateralidad;Dolor en la región glútea baja. Aumenta con la torsión del tronco o la carga monopodal. Inestabilidad al caminar.;Remitir a fisioterapia para terapia manual y estabilización pélvica. Evitar cargas asimétricas.;La disfunción de la articulación sacroilíaca compromete la transferencia de fuerza entre el tronco y las piernas. Esto es clave en el levantamiento seguro.;Fisioterapia, Ortopedia;Sí, con restricciones;Si tienes dolor en la zona baja de la espalda, es importante que evites levantar cargas de forma asimétrica. Un fisioterapeuta te puede ayudar a estabilizar la pelvis.
3100;MUSCART-03-007;3;Factores de Riesgo Físico y Sensorial;Esfuerzo Físico / Levantamiento de Cargas;articulacion_tobillo (2);sistema_musculo_esqueletico;articulacion_tobillo;artrosis_postraumatica/dolor_rigidez/no_aplica_lateralidad;Evaluación de la movilidad pasiva y activa del tobillo. Inspección de la marcha.;Diagnostico/Artrosis de tobillo postraumatica/Articulacion Tobillo/No Aplica Lateralidad;Rango de movimiento limitado. Dolor al caminar en terrenos irregulares. Dolor al intentar ponerse en cuclillas.;Limitar el transporte de cargas en superficies irregulares. Recomendar calzado de seguridad tipo bota.;Un tobillo rígido y doloroso no puede adaptarse al terreno. Esto genera sobrecarga en las articulaciones. Cargar peso es un riesgo.;Ortopedia;Sí, con restricciones;Si te operaste el tobillo y te duele, es mejor que no cargues peso en suelos irregulares. Debes usar un calzado que te dé soporte para protegerte.
3101;MUSCART-03-008;3;Factores de Riesgo Físico y Sensorial;Esfuerzo Físico / Levantamiento de Cargas;articulacion_tobillo (2);sistema_musculo_esqueletico;articulacion_tobillo;inestabilidad_cronica/esguinces_recurrentes/no_aplica_lateralidad;Evaluación de la estabilidad ligamentaria del tobillo (cajón anterior). Anamnesis de esguinces.;Diagnostico/Inestabilidad cronica/Articulacion Tobillo/No Aplica Lateralidad;"Sensación de que el tobillo ""se va"" o falsea, especialmente en terrenos irregulares.";Uso obligatorio de calzado tipo bota. Programa de rehabilitación propioceptiva. Fortalecimiento de la musculatura.;Un tobillo inestable es una base de soporte deficiente. Esto aumenta el riesgo de desequilibrio y caída durante el levantamiento y transporte de la carga.;Fisioterapia, Ortopedia;Sí, con adaptaciones;Si tu tobillo es inestable, debes usar un calzado de seguridad de tipo bota. Un fisioterapeuta te puede enseñar a hacer ejercicios para mejorar tu equilibrio y evitar caídas.
3102;MUSCART-03-009;3;Factores de Riesgo Físico y Sensorial;Esfuerzo Físico / Levantamiento de Cargas;articulaciones_rodilla (1);sistema_musculo_esqueletico;articulaciones_rodilla;inestabilidad_ligamentaria_meniscopatia/fallo_bloqueo/no_aplica_lateralidad;Evaluación de la flexo-extensión. Estabilidad de ligamentos (cajón, bostezo). Signos de meniscopatía (McMurray).;Diagnostico/Inestabilidad o meniscopatia/Articulacion Rodilla/No Aplica Lateralidad;"Sensación de ""fallo"" o bloqueo en la rodilla. Dolor al hacer sentadilla o al cargar peso.";Limitar levantamiento desde el suelo. Recomendar el uso de ayudas mecánicas. Remitir a Ortopedia.;Una rodilla inestable no puede dar el soporte necesario. Esto aumenta el riesgo de una caída y lesión articular mayor al levantar peso.;Ortopedia;Sí, con restricciones;"Si sientes que tu rodilla se ""desplaza"" o te duele al cargar peso, no debes levantar objetos pesados del suelo. Usa ayudas mecánicas y ve a un ortopedista."
3103;MUSCCOL-03-010;3;Factores de Riesgo Físico y Sensorial;Esfuerzo Físico / Levantamiento de Cargas;columna_lumbar (2);sistema_musculo_esqueletico;columna_lumbar;estenosis_canal/claudicacion_neurogena/no_aplica_lateralidad;Anamnesis de claudicación neurógena. Evaluar la marcha y la postura.;Diagnostico/Estenosis de canal lumbar/Columna Lumbar/No Aplica Lateralidad;Dolor, pesadez o calambres en las piernas que aparecen al estar de pie o caminar. Mejoran al sentarse.;Restringir tareas de bipedestación o caminata prolongada, especialmente con cargas. Fortalecimiento del core.;La bipedestación y la carga axial comprimen más el canal lumbar. Esto desencadena síntomas neurológicos e impide la tarea.;Ortopedia, Neurocirugía;No, para esta tarea;Si al estar de pie te duelen las piernas, puede ser un problema en la columna. Debes evitar estar de pie por mucho tiempo y cargar peso. Es importante que te revise un especialista.
3104;MUSCCOL-03-011;3;Factores de Riesgo Físico y Sensorial;Esfuerzo Físico / Levantamiento de Cargas;columna_lumbar (2);sistema_musculo_esqueletico;columna_lumbar;espondilolistesis_espondilolisis/dolor_inestabilidad/no_aplica_lateralidad;Anamnesis dirigida. Radiografía si hay sospecha. Valoración de la movilidad lumbar.;Diagnostico/Espondilolistesis o espondilolisis/Columna Lumbar/No Aplica Lateralidad;Dolor lumbar que empeora con la extensión del tronco o la carga. Puede haber síntomas neurológicos.;Restricción de levantamiento de cargas. Limitar movimientos de hiperextensión lumbar. Valoración por un especialista en columna.;Levantar peso aumenta las fuerzas sobre una columna inestable. Hay riesgo de progresión del desplazamiento y compresión neurológica.;Ortopedia, Neurocirugía;No, para esta tarea;Si te duele la espalda al levantar peso, podría ser un problema de estabilidad en las vértebras. Debes dejar de cargar peso y buscar a un especialista.
3105;SNERENF-03-012;3;Factores de Riesgo Físico y Sensorial;Esfuerzo Físico / Levantamiento de Cargas;Complejo de Control de Movimiento (4);sistema_nervioso_central;enfermedad_parkinson;bradicinesia_inestabilidad_postural/lentitud_rigidez/no_aplica_lateralidad;Evaluación de la marcha, rigidez (rueda dentada), temblor en reposo. Pruebas de equilibrio y coordinación.;Diagnostico/Enfermedad de Parkinson/Enfermedad de Parkinson;Marcha a pasos cortos, rigidez en las extremidades. Lentitud de movimiento, temblor y desequilibrio.;Restricción absoluta para el manejo de cargas. Terapia física y ocupacional. Remisión a neurología.;La lentitud y la inestabilidad impiden la reacción rápida y los ajustes de equilibrio necesarios para manejar una carga de forma segura.;Neurología;No;Si tienes Parkinson, no debes levantar cargas. La lentitud y la falta de equilibrio aumentan el riesgo de caídas y accidentes. Debes ver a un neurólogo.
3106;SNERENF-03-013;3;Factores de Riesgo Físico y Sensorial;Esfuerzo Físico / Levantamiento de Cargas;Complejo de Control de Movimiento (4);sistema_nervioso_central;enfermedad_parkinson;bradicinesia_inestabilidad_postural/lentitud_rigidez/no_aplica_lateralidad;Evaluación de la marcha, rigidez (rueda dentada), temblor en reposo. Pruebas de equilibrio y coordinación.;Diagnostico/Enfermedad de Parkinson/Enfermedad de Parkinson;Marcha a pasos cortos, rigidez en las extremidades. Lentitud de movimiento, temblor y desequilibrio.;Restricción absoluta para el manejo de cargas. Terapia física y ocupacional. Remisión a neurología.;La lentitud y la inestabilidad impiden la reacción rápida y los ajustes de equilibrio necesarios para manejar una carga de forma segura.;Neurología;No;Si tienes Parkinson, no debes levantar cargas. La lentitud y la falta de equilibrio aumentan el riesgo de caídas y accidentes. Debes ver a un neurólogo.
3107;SNEREQU-03-014;3;Factores de Riesgo Físico y Sensorial;Esfuerzo Físico / Levantamiento de Cargas;Complejo de Control de Movimiento (4);sistema_nervioso_central;equilibrio_y_coordinacion;trastorno_equilibrio/marcha_inestable/no_aplica_lateralidad;Pruebas de Romberg y marcha en tándem. Evaluación de la estabilidad y la coordinación.;Diagnostico/Trastorno del equilibrio/Equilibrio y Coordinacion/No Aplica Lateralidad;Inestabilidad en la marcha. Desequilibrio al girar. Desequilibrio al estar de pie con los ojos cerrados.;Restricción total de manipulación y transporte manual de cargas. Remisión a neurología para estudio de la causa.;El transporte de una carga altera el centro de gravedad. Un trastorno del equilibrio hace imposible compensar este cambio de forma segura.;Neurología;No;Si tienes problemas de equilibrio, cargar y transportar peso es muy peligroso. El peso te desestabiliza. Debes ver a un especialista.
3108;SNERSIS-03-015;3;Factores de Riesgo Físico y Sensorial;Esfuerzo Físico / Levantamiento de Cargas;Complejo de Control de Movimiento (4);sistema_nervioso_central;sistema_neurologico;esclerosis_multiple/debilidad_fatiga/no_aplica_lateralidad;Anamnesis de síntomas neurológicos fluctuantes. Evaluación de la fuerza y el equilibrio.;Diagnostico/Esclerosis Multiple/Sistema Neurologico/No Aplica Lateralidad;Fatiga, debilidad muscular, espasticidad, problemas de equilibrio. Varían de un día para otro.;La aptitud debe reevaluarse frecuentemente. Restringir cargas durante los brotes o si hay fatiga.;La naturaleza impredecible de los síntomas, en especial la fatiga y debilidad, hace que el manejo de cargas sea una actividad de alto riesgo.;Neurología;Depende del estado funcional del día;Si tienes Esclerosis Múltiple, tu fuerza y energía pueden variar. Debes evitar levantar peso cuando te sientas débil o cansado. Habla con tu neurólogo sobre esto.
3109;SENDEST-03-016;3;Factores de Riesgo Físico y Sensorial;Esfuerzo Físico / Levantamiento de Cargas;estado_general / estado_gestacional (3);sistema_endocrino;estado_general;obesidad_morbida/desacondicionamiento_fisico_severo/no_aplica_lateralidad;Cálculo de IMC. Valoración de la capacidad funcional. Evaluación de la técnica de levantamiento.;Diagnostico/Obesidad morbida/Estado General/No Aplica Lateralidad;Disnea y fatiga con mínimos esfuerzos. Dificultad para la agilidad. Pobre técnica de levantamiento.;Valoración funcional individual. Si limita la técnica segura de levantamiento, se debe restringir.;El exceso de peso y el desacondicionamiento físico limitan la capacidad biomecánica. Esto impide realizar un levantamiento seguro.;Nutrición, Medicina Interna;Depende de la capacidad funcional;Si tienes obesidad mórbida, cargar peso es muy difícil. El peso extra afecta tu espalda y rodillas. Un especialista debe evaluar si es seguro para ti.
3110;SENDEST-03-017;3;Factores de Riesgo Físico y Sensorial;Esfuerzo Físico / Levantamiento de Cargas;estado_general / estado_gestacional (3);sistema_endocrino;estado_gestacional;embarazo/cambios_posturales/no_aplica_lateralidad;Confirmación de embarazo (anamnesis). Evaluación obstétrica. Valoración de síntomas como mareo.;Diagnostico/Embarazo/Estado Gestacional/No Aplica Lateralidad;Cambios posturales (hiperlordosis). Aumento del perímetro abdominal. Laxitud ligamentaria.;Restringir el levantamiento de cargas >5 kg. Evitar flexión profunda del tronco. Recomendar pausas y ergonomía.;El cambio en el centro de gravedad y la laxitud de los ligamentos pélvicos aumentan el riesgo de caídas y lesiones lumbopélvicas durante el esfuerzo.;Ginecología, Obstetricia;Sí, con restricciones;Si estás embarazada, es importante que no cargues objetos pesados. El cambio en tu cuerpo te hace más propensa a lesiones y caídas. Es mejor que te cuides.
3111;SENDEST-03-018;3;Factores de Riesgo Físico y Sensorial;Esfuerzo Físico / Levantamiento de Cargas;estado_general / estado_gestacional (3);sistema_endocrino;estado_gestacional;embarazo/cambios_posturales/no_aplica_lateralidad;Confirmación de embarazo (anamnesis). Evaluación obstétrica. Valoración de síntomas como mareo.;Diagnostico/Embarazo/Estado Gestacional/No Aplica Lateralidad;Cambios posturales (hiperlordosis). Aumento del perímetro abdominal. Laxitud ligamentaria.;Restringir el levantamiento de cargas >5 kg. Evitar flexión profunda del tronco. Recomendar pausas y ergonomía.;El cambio en el centro de gravedad y la laxitud de los ligamentos pélvicos aumentan el riesgo de caídas y lesiones lumbopélvicas durante el esfuerzo.;Ginecología, Obstetricia;Sí, con restricciones;Si estás embarazada, es importante que no cargues objetos pesados. El cambio en tu cuerpo te hace más propensa a lesiones y caídas. Es mejor que te cuides.
3112;MUSCFLE-03-019;3;Factores de Riesgo Físico y Sensorial;Esfuerzo Físico / Levantamiento de Cargas;flexibilidad (1);sistema_musculo_esqueletico;flexibilidad;rigidez_generalizada/tecnica_levantamiento_insegura/no_aplica_lateralidad;Evaluación funcional de la capacidad para realizar una sentadilla profunda correcta.;Diagnostico/Rigidez generalizada/Flexibilidad/No Aplica Lateralidad;Incapacidad para bajar la cadera por debajo de las rodillas. Flexión excesiva de la columna lumbar al agacharse.;Reeducación en higiene postural. Enseñar técnica de levantamiento segura. Programa de flexibilidad general.;Una mala técnica de levantamiento por rigidez es un factor de riesgo. Puede causar una lesión lumbar aguda.;Fisioterapia;Sí, con entrenamiento;Si tienes rigidez en el cuerpo, es clave que aprendas a hacer sentadillas correctamente. Una mala técnica de levantamiento puede causar una lesión en la espalda.
3113;MUSCHOM-03-020;3;Factores de Riesgo Físico y Sensorial;Esfuerzo Físico / Levantamiento de Cargas;hombro_derecho (1);sistema_musculo_esqueletico;hombro_derecho;ruptura_parcial_completa_manguito_rotador/dolor_debilidad/derecho;Evaluación de arcos de movilidad. Pruebas de pinzamiento (Neer, Hawkins). Prueba de Jobe.;Diagnostico/Ruptura o tendinosis de manguito rotador/Hombro/Derecho;Dolor agudo y debilidad. Incapacidad para sostener el brazo.;Restricción para levantar cualquier carga. Remisión a ortopedia. Terapia física para la rehabilitación.;El manguito rotador es clave para estabilizar el hombro. Si está lesionado, levantar peso puede empeorar la lesión y causar una caída de la carga.;Ortopedia;No, para esta tarea;Si te duele el hombro derecho al levantar peso, puede ser una lesión del manguito rotador. No debes cargar nada hasta que te vea un especialista para evitar una lesión más grave.
3114;MUSCHOM-03-021;3;Factores de Riesgo Físico y Sensorial;Esfuerzo Físico / Levantamiento de Cargas;hombro_izquierdo (1);sistema_musculo_esqueletico;hombro_izquierdo;lesion_manguito_rotador/dolor_debilidad/izquierdo;Evaluación de arcos de movilidad. Pruebas de pinzamiento (Neer, Hawkins). Prueba de Jobe.;Diagnostico/Lesion manguito rotador/Hombro/Izquierdo;Dolor o debilidad en el hombro no dominante. Crucial para estabilizar.;Evitar cargas asimétricas. Evitar grandes volúmenes. Recomendar ejercicios de fortalecimiento.;La debilidad en el brazo estabilizador puede causar un desequilibrio. Esto lleva a la pérdida de control de la carga y la caída del objeto.;Ortopedia;Sí, con restricciones;Si te duele el hombro izquierdo al cargar peso, es importante que evites levantar objetos muy grandes. El dolor puede hacer que pierdas el control.
3115;MUSCHUE-03-022;3;Factores de Riesgo Físico y Sensorial;Esfuerzo Físico / Levantamiento de Cargas;huesos_largos (1);sistema_musculo_esqueletico;huesos_largos;estado_post_fractura/material_osteosintesis/no_aplica_lateralidad;Anamnesis de cirugías o traumas. Evaluación funcional de la marcha y la fuerza muscular.;Diagnostico/Estado post-fractura/Huesos Largos/No Aplica Lateralidad;Cicatriz quirúrgica. Posible cojera residual. Debilidad muscular en la extremidad afectada.;Restringir cargas máximas. Evaluar la capacidad funcional de forma individual. La rehabilitación debe ser completa.;Después de una fractura, puede haber debilidad muscular residual. Esto afecta la capacidad para levantar peso. Es un factor de riesgo.;Ortopedia, Fisiatría;Depende de la capacidad funcional;Después de una fractura, la debilidad muscular puede afectar tu capacidad para levantar peso. Es importante que te rehabilites y evalúes tu fuerza antes de retomar el trabajo.
3116;TEGUINT-03-023;3;Factores de Riesgo Físico y Sensorial;Esfuerzo Físico / Levantamiento de Cargas;integridad_piel_manos (1);sistema_tegumentario;integridad_piel_manos;heridas_abiertas_dermatitis/riesgo_infeccion/no_aplica_lateralidad;Inspección de palmas y dedos. Palpación de la piel.;Diagnostico/Heridas o dermatitis/Manos/No Aplica Lateralidad;Lesiones visibles. Comprometen la integridad de la piel en la superficie de agarre.;Restricción de manipulación de cargas hasta la cicatrización. Usar guantes de protección adecuados.;El dolor y el riesgo de infección por heridas en las manos impiden realizar un agarre firme. Esto es un punto de contacto clave con la carga.;Dermatología;No, hasta cicatrización;Si tienes heridas en las manos, no debes cargar peso. El dolor y el riesgo de infección son muy altos. Debes esperar a que las heridas sanen completamente.
3117;MUSCMAN-03-024;3;Factores de Riesgo Físico y Sensorial;Esfuerzo Físico / Levantamiento de Cargas;mano_dedos (1);sistema_musculo_esqueletico;mano_dedos;tenosinovitis_flexora/dedo_en_gatillo/no_aplica_lateralidad;Palpación de poleas. Evaluación de la flexión activa del dedo. Evaluar si hay un bloqueo doloroso.;Diagnostico/Dedo en gatillo/Mano/No Aplica Lateralidad;Dolor y bloqueo. Ocurre al intentar cerrar la mano. El agarre de objetos es imposible.;Remisión a ortopedia. Evitar agarres de fuerza. Terapia física.;La incapacidad para cerrar los dedos de forma fluida y completa impide un agarre potente y seguro. Esto es fundamental para el levantamiento de cargas.;Ortopedia;Sí, con restricciones;Si al cerrar la mano sientes un bloqueo, no debes hacer agarres de fuerza. Debes ver a un especialista para tratarlo y evitar que te duela más.
3118;MUSCMAN-03-025;3;Factores de Riesgo Físico y Sensorial;Esfuerzo Físico / Levantamiento de Cargas;manos_y_muñecas (1);sistema_musculo_esqueletico;manos_y_muñecas;debilidad_severa_agarre/artrosis_neuropatia/no_aplica_lateralidad;Evaluación de la fuerza de prensión con dinamómetro. Valoración funcional de la capacidad para sostener peso.;Diagnostico/Debilidad severa del agarre/Manos y Muñecas/No Aplica Lateralidad;Fuerza de prensión objetivamente disminuida. Incapacidad para sostener objetos pesados. El agarre es muy débil.;Restricción de toda tarea que requiera agarre de fuerza. Remisión a un especialista.;El agarre es el primer punto de contacto. Si la fuerza es deficiente, el control de la carga es nulo. Hay un riesgo de que el objeto se resbale.;Ortopedia, Fisiatría;No, para esta tarea;Si tus manos son muy débiles, es peligroso levantar peso. Debes evitar tareas que requieran mucha fuerza de agarre. Es importante que te revise un especialista.
3119;MUSCMUS-03-026;3;Factores de Riesgo Físico y Sensorial;Esfuerzo Físico / Levantamiento de Cargas;musculos_del_cuello (1);sistema_musculo_esqueletico;musculos_del_cuello;debilidad_estabilizadores/cefalea_cervicalgia/no_aplica_lateralidad;Palpación de los músculos. Evaluación de la fuerza contra resistencia.;Diagnostico/Debilidad de estabilizadores/Cuello/No Aplica Lateralidad;Incapacidad para mantener la cabeza en posición neutra. Ocurre durante el esfuerzo. Protracción cefálica marcada.;Fortalecimiento cervical. Evitar cargas por encima de los hombros. Reeducación postural.;Un cuello débil no puede estabilizar la cabeza. Esto puede causar lesiones cervicales agudas por la tensión del tronco y hombros.;Fisioterapia;Sí, con restricciones;Si tienes un cuello débil, es importante que evites levantar objetos pesados por encima de la cabeza. Un fisioterapeuta te puede ayudar con ejercicios para fortalecer los músculos.
3120;MUSCPAR-03-027;3;Factores de Riesgo Físico y Sensorial;Esfuerzo Físico / Levantamiento de Cargas;pared_abdominal (3);sistema_musculo_esqueletico;pared_abdominal;hernia_inguinal/protrusion_no_reductible/no_aplica_lateralidad;Maniobra de Valsalva. Inspección y palpación de la región inguinal.;Diagnostico/Hernia inguinal sintomatica o no reductible/Pared Abdominal/No Aplica Lateralidad;Protrusión o abultamiento visible. Aumenta al toser o hacer fuerza. Es dolorosa.;Restricción de todo esfuerzo físico. Prohibir levantamiento de cargas. Valoración prioritaria por cirugía general.;El aumento de la presión abdominal al levantar peso es un riesgo. Una hernia puede estrangularse. Esto es una emergencia.;Cirugía General;No, para esta tarea;Si tienes una hernia en la ingle, es muy peligroso levantar peso. El riesgo de una emergencia es muy alto. Debes ver a un cirujano de inmediato.
3121;MUSCPAR-03-028;3;Factores de Riesgo Físico y Sensorial;Esfuerzo Físico / Levantamiento de Cargas;pared_abdominal (3);sistema_musculo_esqueletico;pared_abdominal;diastasis_rectos_hernia/debilidad_abdominal/no_aplica_lateralidad;Inspección y palpación de la línea media abdominal durante un esfuerzo. Maniobra de Valsalva.;Diagnostico/Diastasis de los rectos o hernia umbilical/Pared Abdominal/No Aplica Lateralidad;Separación palpable de los músculos. Protrusión de una hernia. Ocurre al hacer fuerza.;Restringir levantamiento de cargas. Remitir a cirugía general para valoración de la necesidad de corrección.;"Una pared abdominal debilitada reduce la estabilidad del ""core"". Esto sobrecarga la columna lumbar y aumenta el riesgo de que la hernia crezca.";Cirugía General;No, para esta tarea;Si tienes debilidad en los músculos del abdomen o una hernia umbilical, no debes cargar peso. El esfuerzo puede empeorar la condición y ser peligroso.
3122;MUSCPAR-03-029;3;Factores de Riesgo Físico y Sensorial;Esfuerzo Físico / Levantamiento de Cargas;pared_abdominal (3);sistema_musculo_esqueletico;pared_abdominal;diastasis_rectos_hernia/debilidad_abdominal/no_aplica_lateralidad;Inspección y palpación de la línea media abdominal durante un esfuerzo. Maniobra de Valsalva.;Diagnostico/Diastasis de los rectos o hernia umbilical/Pared Abdominal/No Aplica Lateralidad;Separación palpable de los músculos. Protrusión de una hernia. Ocurre al hacer fuerza.;Restringir levantamiento de cargas. Remitir a cirugía general para valoración de la necesidad de corrección.;"Una pared abdominal debilitada reduce la estabilidad del ""core"". Esto sobrecarga la columna lumbar y aumenta el riesgo de que la hernia crezca.";Cirugía General;No, para esta tarea;Si tienes debilidad en los músculos del abdomen o una hernia, no debes cargar peso. El esfuerzo puede empeorar la condición y ser peligroso para tu salud.
3123;SPSISAL-03-030;3;Factores de Riesgo Físico y Sensorial;Esfuerzo Físico / Levantamiento de Cargas;salud_mental_kinesiofobia (1);sistema_psicologico;salud_mental_kinesiofobia;miedo_al_movimiento/patrones_anormales/no_aplica_lateralidad;Anamnesis sobre historial de lesiones y miedo al movimiento. Evaluación de la postura y el patrón de movimiento.;Diagnostico/Kinesiofobia severa/Salud Mental/No Aplica Lateralidad;Evitación de posturas de flexión. Patrones de movimiento anormales y rígidos por miedo a una re-lesión.;Remisión a fisioterapia y psicología para un programa de exposición gradual y manejo del miedo.;El miedo al movimiento provoca que el trabajador adopte técnicas de levantamiento rígidas. Esto aumenta el riesgo de una nueva lesión.;Fisioterapia, Psicología;Sí, con rehabilitación;Si sientes miedo a lesionarte al moverte, puedes adoptar posturas que en realidad son más peligrosas. Es importante que un especialista te ayude a superar ese miedo y a moverte con confianza.
3124;SCARSIS-03-031;3;Factores de Riesgo Físico y Sensorial;Esfuerzo Físico / Levantamiento de Cargas;sistema_cardiovascular (2);sistema_cardiovascular;sistema_cardiovascular;cardiopatia_isquemica_post-infarto/dolor_opresion_pecho/no_aplica_lateralidad;Anamnesis de angina. Prueba de esfuerzo si hay indicación. Evaluar dolor en el pecho.;Diagnostico/Cardiopatia isquemica o post-infarto/Sistema Cardiovascular/No Aplica Lateralidad;Dolor u opresión en el pecho. Aparece con el esfuerzo físico. Se alivia con el reposo.;Restricción absoluta de todo esfuerzo físico. Manejo y seguimiento estricto por cardiología.;Levantar peso es un esfuerzo isométrico. Eleva la presión y la demanda de oxígeno del corazón. Esto puede desencadenar una isquemia.;Cardiología;No;Si sientes un dolor o presión en el pecho al hacer esfuerzo, no cargues peso. Debes ver a un cardiólogo de inmediato. Es una emergencia que puede ser fatal.
3125;SCARSIS-03-032;3;Factores de Riesgo Físico y Sensorial;Esfuerzo Físico / Levantamiento de Cargas;sistema_cardiovascular (2);sistema_cardiovascular;sistema_cardiovascular;hipertension_arterial/cifras_tensionales_elevadas/no_aplica_lateralidad;Toma de tensión arterial. Anamnesis de síntomas. Evaluar el historial clínico.;Diagnostico/Hipertension arterial severa no controlada/Sistema Cardiovascular/No Aplica Lateralidad;Cifras tensionales en reposo consistentemente por encima de 180/110 mmHg.;Restricción absoluta de esfuerzos isométricos. Remisión a cardiología para manejo farmacológico urgente.;El levantamiento de peso genera picos hipertensivos peligrosos. Aumenta críticamente el riesgo de un evento cerebrovascular hemorrágico.;Cardiología;No;Si tienes la presión muy alta y no la controlas, cargar peso es muy peligroso. Puede causarte un derrame cerebral. Debes ver a un cardiólogo de urgencia.
